# WHO growth reference table, vendored for PoshanNetra AI (Section 6.4).
# source_url: https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/weight-for-length-height/expanded-tables/wfl-girls-zscore-expanded-table.xlsx
# retrieved: 2026-08-28
# sha256(source_xlsx): ec116b8e618ad311d34a87231346badf16c75f5c4f82222ec846e05c582bf16a
# key column 'Length' is in cms; rows: 651
# sd* columns are WHO's OWN published cut-offs, kept only so the test
# suite can prove our LMS implementation reproduces them exactly.
key,l,m,s,sd3neg,sd2neg,sd2pos,sd3pos
53.1,-0.3833,4.0581,0.09094,3.131,3.404,4.9,5.413
53.2,-0.3833,4.0832,0.09095,3.15,3.425,4.93,5.447
53.3,-0.3833,4.1084,0.09096,3.169,3.446,4.961,5.481
53.4,-0.3833,4.1337,0.09097,3.189,3.467,4.992,5.515
53.5,-0.3833,4.1591,0.09098,3.208,3.488,5.022,5.549
53.6,-0.3833,4.1846,0.09099,3.228,3.51,5.053,5.583
53.7,-0.3833,4.2102,0.09099,3.248,3.531,5.084,5.617
53.8,-0.3833,4.2359,0.091,3.267,3.553,5.115,5.652
53.9,-0.3833,4.2617,0.09101,3.287,3.574,5.147,5.686
54,-0.3833,4.2875,0.09102,3.307,3.596,5.178,5.721
54.1,-0.3833,4.3135,0.09103,3.327,3.617,5.209,5.756
54.2,-0.3833,4.3395,0.09104,3.347,3.639,5.241,5.791
54.3,-0.3833,4.3655,0.09105,3.367,3.661,5.272,5.826
54.4,-0.3833,4.3917,0.09105,3.387,3.683,5.304,5.861
54.5,-0.3833,4.4179,0.09106,3.407,3.705,5.336,5.896
54.6,-0.3833,4.4442,0.09107,3.427,3.727,5.368,5.931
54.7,-0.3833,4.4705,0.09108,3.447,3.749,5.4,5.966
54.8,-0.3833,4.4969,0.09109,3.468,3.771,5.432,6.002
54.9,-0.3833,4.5233,0.09109,3.488,3.793,5.464,6.037
55,-0.3833,4.5498,0.0911,3.508,3.815,5.496,6.073
55.1,-0.3833,4.5763,0.09111,3.529,3.837,5.528,6.108
55.2,-0.3833,4.6029,0.09112,3.549,3.859,5.56,6.144
55.3,-0.3833,4.6295,0.09113,3.57,3.882,5.592,6.18
55.4,-0.3833,4.6561,0.09113,3.59,3.904,5.624,6.215
55.5,-0.3833,4.6827,0.09114,3.611,3.926,5.657,6.251
55.6,-0.3833,4.7094,0.09115,3.631,3.949,5.689,6.287
55.7,-0.3833,4.7361,0.09116,3.652,3.971,5.721,6.323
55.8,-0.3833,4.7628,0.09116,3.672,3.993,5.754,6.358
55.9,-0.3833,4.7895,0.09117,3.693,4.016,5.786,6.394
56,-0.3833,4.8162,0.09118,3.713,4.038,5.818,6.43
56.1,-0.3833,4.843,0.09119,3.734,4.06,5.851,6.466
56.2,-0.3833,4.8697,0.09119,3.754,4.083,5.883,6.502
56.3,-0.3833,4.8964,0.0912,3.775,4.105,5.916,6.537
56.4,-0.3833,4.9232,0.09121,3.795,4.127,5.948,6.573
56.5,-0.3833,4.95,0.09121,3.816,4.15,5.98,6.609
56.6,-0.3833,4.9767,0.09122,3.836,4.172,6.013,6.645
56.7,-0.3833,5.0034,0.09123,3.857,4.194,6.045,6.681
56.8,-0.3833,5.0302,0.09123,3.878,4.217,6.078,6.717
56.9,-0.3833,5.0569,0.09124,3.898,4.239,6.11,6.753
57,-0.3833,5.0837,0.09125,3.919,4.262,6.143,6.789
57.1,-0.3833,5.1104,0.09125,3.939,4.284,6.175,6.824
57.2,-0.3833,5.1371,0.09126,3.96,4.306,6.207,6.86
57.3,-0.3833,5.1639,0.09126,3.98,4.329,6.24,6.896
57.4,-0.3833,5.1906,0.09127,4.001,4.351,6.272,6.932
57.5,-0.3833,5.2173,0.09128,4.021,4.373,6.304,6.968
57.6,-0.3833,5.244,0.09128,4.042,4.396,6.337,7.003
57.7,-0.3833,5.2707,0.09129,4.062,4.418,6.369,7.039
57.8,-0.3833,5.2974,0.09129,4.083,4.44,6.401,7.075
57.9,-0.3833,5.324,0.0913,4.103,4.463,6.434,7.111
58,-0.3833,5.3507,0.0913,4.124,4.485,6.466,7.146
58.1,-0.3833,5.3773,0.09131,4.144,4.507,6.498,7.182
58.2,-0.3833,5.4039,0.09131,4.165,4.529,6.53,7.218
58.3,-0.3833,5.4304,0.09131,4.185,4.552,6.562,7.253
58.4,-0.3833,5.4569,0.09132,4.205,4.574,6.594,7.289
58.5,-0.3833,5.4834,0.09132,4.226,4.596,6.626,7.324
58.6,-0.3833,5.5098,0.09133,4.246,4.618,6.659,7.36
58.7,-0.3833,5.5362,0.09133,4.266,4.64,6.69,7.395
58.8,-0.3833,5.5625,0.09133,4.287,4.662,6.722,7.43
58.9,-0.3833,5.5888,0.09134,4.307,4.684,6.754,7.465
59,-0.3833,5.6151,0.09134,4.327,4.706,6.786,7.5
59.1,-0.3833,5.6413,0.09134,4.347,4.728,6.818,7.535
59.2,-0.3833,5.6674,0.09135,4.367,4.75,6.849,7.571
59.3,-0.3833,5.6935,0.09135,4.387,4.772,6.881,7.605
59.4,-0.3833,5.7195,0.09135,4.407,4.794,6.912,7.64
59.5,-0.3833,5.7454,0.09135,4.427,4.815,6.944,7.675
59.6,-0.3833,5.7713,0.09136,4.447,4.837,6.975,7.71
59.7,-0.3833,5.7971,0.09136,4.467,4.859,7.006,7.744
59.8,-0.3833,5.8229,0.09136,4.487,4.88,7.037,7.779
59.9,-0.3833,5.8485,0.09136,4.507,4.902,7.068,7.813
60,-0.3833,5.8742,0.09136,4.527,4.923,7.099,7.847
60.1,-0.3833,5.8997,0.09136,4.546,4.945,7.13,7.881
60.2,-0.3833,5.9252,0.09137,4.566,4.966,7.161,7.915
60.3,-0.3833,5.9507,0.09137,4.585,4.987,7.192,7.95
60.4,-0.3833,5.9761,0.09137,4.605,5.009,7.223,7.983
60.5,-0.3833,6.0014,0.09137,4.624,5.03,7.253,8.017
60.6,-0.3833,6.0266,0.09137,4.644,5.051,7.284,8.051
60.7,-0.3833,6.0518,0.09137,4.663,5.072,7.314,8.085
60.8,-0.3833,6.0769,0.09137,4.683,5.093,7.344,8.118
60.9,-0.3833,6.102,0.09137,4.702,5.114,7.375,8.152
61,-0.3833,6.127,0.09137,4.721,5.135,7.405,8.185
61.1,-0.3833,6.1519,0.09137,4.74,5.156,7.435,8.218
61.2,-0.3833,6.1768,0.09136,4.76,5.177,7.465,8.251
61.3,-0.3833,6.2017,0.09136,4.779,5.198,7.495,8.285
61.4,-0.3833,6.2264,0.09136,4.798,5.218,7.525,8.318
61.5,-0.3833,6.2511,0.09136,4.817,5.239,7.555,8.351
61.6,-0.3833,6.2758,0.09136,4.836,5.26,7.585,8.384
61.7,-0.3833,6.3004,0.09136,4.855,5.28,7.614,8.416
61.8,-0.3833,6.3249,0.09135,4.874,5.301,7.644,8.449
61.9,-0.3833,6.3494,0.09135,4.893,5.322,7.673,8.482
62,-0.3833,6.3738,0.09135,4.912,5.342,7.703,8.514
62.1,-0.3833,6.3981,0.09135,4.93,5.362,7.732,8.547
62.2,-0.3833,6.4224,0.09134,4.949,5.383,7.762,8.579
62.3,-0.3833,6.4466,0.09134,4.968,5.403,7.791,8.611
62.4,-0.3833,6.4708,0.09134,4.987,5.423,7.82,8.643
62.5,-0.3833,6.4948,0.09133,5.005,5.444,7.849,8.675
62.6,-0.3833,6.5189,0.09133,5.024,5.464,7.878,8.707
62.7,-0.3833,6.5429,0.09133,5.042,5.484,7.907,8.739
62.8,-0.3833,6.5668,0.09132,5.061,5.504,7.936,8.771
62.9,-0.3833,6.5906,0.09132,5.079,5.524,7.964,8.803
63,-0.3833,6.6144,0.09131,5.098,5.544,7.993,8.834
63.1,-0.3833,6.6382,0.09131,5.116,5.564,8.022,8.866
63.2,-0.3833,6.6619,0.0913,5.134,5.584,8.05,8.898
63.3,-0.3833,6.6856,0.0913,5.153,5.604,8.079,8.929
63.4,-0.3833,6.7092,0.09129,5.171,5.624,8.107,8.96
63.5,-0.3833,6.7328,0.09129,5.189,5.644,8.136,8.992
63.6,-0.3833,6.7563,0.09128,5.207,5.663,8.164,9.023
63.7,-0.3833,6.7798,0.09128,5.225,5.683,8.192,9.054
63.8,-0.3833,6.8033,0.09127,5.244,5.703,8.221,9.085
63.9,-0.3833,6.8267,0.09127,5.262,5.722,8.249,9.117
64,-0.3833,6.8501,0.09126,5.28,5.742,8.277,9.148
64.1,-0.3833,6.8734,0.09125,5.298,5.762,8.305,9.178
64.2,-0.3833,6.8967,0.09125,5.316,5.781,8.333,9.21
64.3,-0.3833,6.9199,0.09124,5.334,5.801,8.361,9.24
64.4,-0.3833,6.9431,0.09123,5.352,5.82,8.389,9.271
64.5,-0.3833,6.9662,0.09123,5.37,5.84,8.417,9.302
64.6,-0.3833,6.9893,0.09122,5.388,5.859,8.444,9.332
64.7,-0.3833,7.0124,0.09121,5.406,5.879,8.472,9.363
64.8,-0.3833,7.0354,0.0912,5.424,5.898,8.5,9.393
64.9,-0.3833,7.0583,0.0912,5.441,5.917,8.527,9.424
65,-0.3833,7.0812,0.09119,5.459,5.937,8.555,9.454
65.1,-0.3833,7.1041,0.09118,5.477,5.956,8.582,9.484
65.2,-0.3833,7.1269,0.09117,5.495,5.975,8.61,9.514
65.3,-0.3833,7.1497,0.09116,5.512,5.994,8.637,9.545
65.4,-0.3833,7.1724,0.09116,5.53,6.014,8.665,9.575
65.5,-0.3833,7.195,0.09115,5.547,6.033,8.692,9.605
65.6,-0.3833,7.2177,0.09114,5.565,6.052,8.719,9.635
65.7,-0.3833,7.2402,0.09113,5.583,6.071,8.746,9.664
65.8,-0.3833,7.2627,0.09112,5.6,6.09,8.773,9.694
65.9,-0.3833,7.2852,0.09111,5.618,6.109,8.8,9.724
66,-0.3833,7.3076,0.0911,5.635,6.128,8.827,9.753
66.1,-0.3833,7.33,0.09109,5.652,6.146,8.854,9.783
66.2,-0.3833,7.3523,0.09109,5.67,6.165,8.881,9.813
66.3,-0.3833,7.3745,0.09108,5.687,6.184,8.907,9.842
66.4,-0.3833,7.3967,0.09107,5.704,6.203,8.934,9.871
66.5,-0.3833,7.4189,0.09106,5.721,6.221,8.96,9.901
66.6,-0.3833,7.441,0.09105,5.739,6.24,8.987,9.93
66.7,-0.3833,7.463,0.09104,5.756,6.259,9.013,9.959
66.8,-0.3833,7.485,0.09103,5.773,6.277,9.04,9.988
66.9,-0.3833,7.5069,0.09102,5.79,6.296,9.066,10.017
67,-0.3833,7.5288,0.09101,5.807,6.314,9.092,10.046
67.1,-0.3833,7.5507,0.091,5.824,6.333,9.118,10.074
67.2,-0.3833,7.5724,0.09099,5.841,6.351,9.144,10.103
67.3,-0.3833,7.5942,0.09098,5.858,6.369,9.171,10.132
67.4,-0.3833,7.6158,0.09097,5.875,6.388,9.196,10.16
67.5,-0.3833,7.6375,0.09096,5.892,6.406,9.222,10.189
67.6,-0.3833,7.659,0.09095,5.908,6.424,9.248,10.217
67.7,-0.3833,7.6806,0.09094,5.925,6.442,9.274,10.246
67.8,-0.3833,7.702,0.09093,5.942,6.46,9.3,10.274
67.9,-0.3833,7.7234,0.09091,5.959,6.479,9.325,10.302
68,-0.3833,7.7448,0.0909,5.975,6.497,9.351,10.33
68.1,-0.3833,7.7661,0.09089,5.992,6.515,9.376,10.358
68.2,-0.3833,7.7874,0.09088,6.009,6.533,9.402,10.386
68.3,-0.3833,7.8086,0.09087,6.025,6.55,9.427,10.414
68.4,-0.3833,7.8298,0.09086,6.042,6.568,9.453,10.442
68.5,-0.3833,7.8509,0.09085,6.058,6.586,9.478,10.47
68.6,-0.3833,7.872,0.09084,6.075,6.604,9.503,10.498
68.7,-0.3833,7.893,0.09083,6.091,6.622,9.528,10.525
68.8,-0.3833,7.914,0.09082,6.107,6.64,9.553,10.553
68.9,-0.3833,7.935,0.0908,6.124,6.657,9.578,10.58
69,-0.3833,7.9559,0.09079,6.14,6.675,9.603,10.608
69.1,-0.3833,7.9768,0.09078,6.156,6.693,9.628,10.635
69.2,-0.3833,7.9976,0.09077,6.173,6.71,9.653,10.663
69.3,-0.3833,8.0184,0.09076,6.189,6.728,9.678,10.69
69.4,-0.3833,8.0392,0.09075,6.205,6.745,9.703,10.717
69.5,-0.3833,8.0599,0.09074,6.221,6.763,9.728,10.745
69.6,-0.3833,8.0806,0.09072,6.238,6.781,9.753,10.771
69.7,-0.3833,8.1012,0.09071,6.254,6.798,9.777,10.798
69.8,-0.3833,8.1218,0.0907,6.27,6.815,9.802,10.826
69.9,-0.3833,8.1424,0.09069,6.286,6.833,9.826,10.853
70,-0.3833,8.163,0.09068,6.302,6.85,9.851,10.88
70.1,-0.3833,8.1835,0.09067,6.318,6.868,9.876,10.907
70.2,-0.3833,8.2039,0.09065,6.334,6.885,9.9,10.933
70.3,-0.3833,8.2244,0.09064,6.35,6.902,9.924,10.96
70.4,-0.3833,8.2448,0.09063,6.366,6.919,9.949,10.987
70.5,-0.3833,8.2651,0.09062,6.382,6.937,9.973,11.014
70.6,-0.3833,8.2855,0.09061,6.398,6.954,9.997,11.04
70.7,-0.3833,8.3058,0.09059,6.414,6.971,10.021,11.067
70.8,-0.3833,8.3261,0.09058,6.429,6.988,10.046,11.093
70.9,-0.3833,8.3464,0.09057,6.445,7.006,10.07,11.12
71,-0.3833,8.3666,0.09056,6.461,7.023,10.094,11.147
71.1,-0.3833,8.3869,0.09055,6.477,7.04,10.118,11.173
71.2,-0.3833,8.4071,0.09053,6.493,7.057,10.142,11.199
71.3,-0.3833,8.4273,0.09052,6.509,7.074,10.167,11.226
71.4,-0.3833,8.4474,0.09051,6.524,7.091,10.191,11.252
71.5,-0.3833,8.4676,0.0905,6.54,7.108,10.215,11.279
71.6,-0.3833,8.4877,0.09048,6.556,7.125,10.239,11.305
71.7,-0.3833,8.5078,0.09047,6.572,7.142,10.263,11.331
71.8,-0.3833,8.5278,0.09046,6.587,7.159,10.286,11.358
71.9,-0.3833,8.5479,0.09045,6.603,7.176,10.311,11.384
72,-0.3833,8.5679,0.09043,6.619,7.193,10.334,11.41
72.1,-0.3833,8.5879,0.09042,6.635,7.21,10.358,11.436
72.2,-0.3833,8.6078,0.09041,6.65,7.227,10.382,11.462
72.3,-0.3833,8.6277,0.0904,6.666,7.244,10.406,11.488
72.4,-0.3833,8.6476,0.09039,6.681,7.261,10.429,11.514
72.5,-0.3833,8.6674,0.09037,6.697,7.278,10.453,11.54
72.6,-0.3833,8.6872,0.09036,6.712,7.294,10.477,11.566
72.7,-0.3833,8.707,0.09035,6.728,7.311,10.5,11.592
72.8,-0.3833,8.7267,0.09034,6.743,7.328,10.524,11.618
72.9,-0.3833,8.7464,0.09032,6.759,7.345,10.547,11.643
73,-0.3833,8.7661,0.09031,6.774,7.361,10.571,11.669
73.1,-0.3833,8.7857,0.0903,6.79,7.378,10.594,11.695
73.2,-0.3833,8.8053,0.09028,6.805,7.395,10.617,11.72
73.3,-0.3833,8.8248,0.09027,6.82,7.411,10.64,11.746
73.4,-0.3833,8.8443,0.09026,6.836,7.428,10.664,11.771
73.5,-0.3833,8.8638,0.09025,6.851,7.444,10.687,11.797
73.6,-0.3833,8.8831,0.09023,6.866,7.461,10.71,11.822
73.7,-0.3833,8.9025,0.09022,6.881,7.477,10.733,11.847
73.8,-0.3833,8.9217,0.09021,6.896,7.493,10.756,11.872
73.9,-0.3833,8.941,0.0902,6.911,7.51,10.779,11.898
74,-0.3833,8.9601,0.09018,6.927,7.526,10.801,11.922
74.1,-0.3833,8.9792,0.09017,6.942,7.542,10.824,11.947
74.2,-0.3833,8.9983,0.09016,6.957,7.559,10.847,11.972
74.3,-0.3833,9.0173,0.09014,6.972,7.575,10.869,11.997
74.4,-0.3833,9.0363,0.09013,6.986,7.591,10.892,12.022
74.5,-0.3833,9.0552,0.09012,7.001,7.607,10.915,12.046
74.6,-0.3833,9.074,0.09011,7.016,7.623,10.937,12.071
74.7,-0.3833,9.0928,0.09009,7.031,7.639,10.959,12.095
74.8,-0.3833,9.1116,0.09008,7.046,7.655,10.982,12.12
74.9,-0.3833,9.1303,0.09007,7.06,7.671,11.004,12.144
75,-0.3833,9.149,0.09005,7.075,7.687,11.026,12.168
75.1,-0.3833,9.1676,0.09004,7.09,7.702,11.048,12.193
75.2,-0.3833,9.1862,0.09003,7.104,7.718,11.07,12.217
75.3,-0.3833,9.2048,0.09001,7.119,7.734,11.092,12.241
75.4,-0.3833,9.2233,0.09,7.134,7.75,11.114,12.265
75.5,-0.3833,9.2418,0.08999,7.148,7.766,11.136,12.289
75.6,-0.3833,9.2602,0.08997,7.163,7.781,11.158,12.313
75.7,-0.3833,9.2786,0.08996,7.177,7.797,11.18,12.337
75.8,-0.3833,9.297,0.08995,7.192,7.812,11.202,12.361
75.9,-0.3833,9.3154,0.08993,7.206,7.828,11.224,12.385
76,-0.3833,9.3337,0.08992,7.221,7.844,11.246,12.408
76.1,-0.3833,9.352,0.08991,7.235,7.859,11.267,12.432
76.2,-0.3833,9.3703,0.08989,7.249,7.875,11.289,12.456
76.3,-0.3833,9.3886,0.08988,7.264,7.89,11.311,12.48
76.4,-0.3833,9.4069,0.08987,7.278,7.906,11.333,12.504
76.5,-0.3833,9.4252,0.08985,7.293,7.922,11.354,12.527
76.6,-0.3833,9.4435,0.08984,7.307,7.937,11.376,12.551
76.7,-0.3833,9.4617,0.08983,7.321,7.953,11.398,12.575
76.8,-0.3833,9.48,0.08981,7.336,7.968,11.419,12.598
76.9,-0.3833,9.4983,0.0898,7.35,7.984,11.441,12.622
77,-0.3833,9.5166,0.08979,7.365,7.999,11.463,12.646
77.1,-0.3833,9.535,0.08977,7.379,8.015,11.484,12.67
77.2,-0.3833,9.5533,0.08976,7.394,8.031,11.506,12.694
77.3,-0.3833,9.5717,0.08975,7.408,8.046,11.528,12.718
77.4,-0.3833,9.5901,0.08973,7.423,8.062,11.55,12.741
77.5,-0.3833,9.6086,0.08972,7.437,8.078,11.572,12.765
77.6,-0.3833,9.6271,0.08971,7.452,8.094,11.594,12.79
77.7,-0.3833,9.6456,0.08969,7.466,8.109,11.616,12.813
77.8,-0.3833,9.6642,0.08968,7.481,8.125,11.638,12.838
77.9,-0.3833,9.6828,0.08966,7.496,8.141,11.66,12.861
78,-0.3833,9.7015,0.08965,7.511,8.157,11.682,12.886
78.1,-0.3833,9.7202,0.08964,7.525,8.173,11.704,12.91
78.2,-0.3833,9.739,0.08963,7.54,8.189,11.727,12.935
78.3,-0.3833,9.7578,0.08961,7.555,8.205,11.749,12.959
78.4,-0.3833,9.7767,0.0896,7.57,8.221,11.771,12.984
78.5,-0.3833,9.7957,0.08959,7.585,8.237,11.794,13.008
78.6,-0.3833,9.8147,0.08957,7.6,8.253,11.816,13.033
78.7,-0.3833,9.8338,0.08956,7.615,8.27,11.839,13.058
78.8,-0.3833,9.853,0.08955,7.63,8.286,11.862,13.083
78.9,-0.3833,9.8722,0.08953,7.645,8.302,11.884,13.107
79,-0.3833,9.8915,0.08952,7.66,8.319,11.907,13.132
79.1,-0.3833,9.9109,0.08951,7.676,8.335,11.93,13.158
79.2,-0.3833,9.9303,0.0895,7.691,8.352,11.954,13.183
79.3,-0.3833,9.9499,0.08948,7.706,8.368,11.977,13.208
79.4,-0.3833,9.9695,0.08947,7.722,8.385,12,13.234
79.5,-0.3833,9.9892,0.08946,7.737,8.402,12.023,13.26
79.6,-0.3833,10.009,0.08945,7.753,8.419,12.047,13.285
79.7,-0.3833,10.0289,0.08943,7.769,8.436,12.07,13.311
79.8,-0.3833,10.0489,0.08942,7.784,8.453,12.094,13.337
79.9,-0.3833,10.069,0.08941,7.8,8.47,12.118,13.363
80,-0.3833,10.0891,0.0894,7.816,8.487,12.142,13.389
80.1,-0.3833,10.1094,0.08939,7.832,8.504,12.166,13.416
80.2,-0.3833,10.1298,0.08937,7.848,8.522,12.19,13.442
80.3,-0.3833,10.1503,0.08936,7.864,8.539,12.215,13.469
80.4,-0.3833,10.1709,0.08935,7.88,8.556,12.239,13.496
80.5,-0.3833,10.1916,0.08934,7.897,8.574,12.264,13.523
80.6,-0.3833,10.2123,0.08933,7.913,8.592,12.289,13.55
80.7,-0.3833,10.2332,0.08932,7.929,8.609,12.313,13.577
80.8,-0.3833,10.2542,0.0893,7.946,8.627,12.338,13.604
80.9,-0.3833,10.2753,0.08929,7.963,8.645,12.363,13.632
81,-0.3833,10.2965,0.08928,7.979,8.663,12.388,13.659
81.1,-0.3833,10.3178,0.08927,7.996,8.681,12.414,13.687
81.2,-0.3833,10.3393,0.08926,8.013,8.7,12.439,13.715
81.3,-0.3833,10.3608,0.08925,8.03,8.718,12.465,13.743
81.4,-0.3833,10.3824,0.08924,8.047,8.736,12.491,13.771
81.5,-0.3833,10.4041,0.08923,8.064,8.755,12.517,13.8
81.6,-0.3833,10.4258,0.08922,8.081,8.773,12.542,13.828
81.7,-0.3833,10.4477,0.08921,8.098,8.792,12.569,13.857
81.8,-0.3833,10.4697,0.0892,8.115,8.81,12.595,13.885
81.9,-0.3833,10.4918,0.08919,8.133,8.829,12.621,13.914
82,-0.3833,10.514,0.08918,8.15,8.848,12.647,13.943
82.1,-0.3833,10.5363,0.08917,8.167,8.867,12.674,13.972
82.2,-0.3833,10.5586,0.08916,8.185,8.886,12.701,14.001
82.3,-0.3833,10.5811,0.08915,8.203,8.905,12.727,14.031
82.4,-0.3833,10.6037,0.08915,8.22,8.924,12.755,14.061
82.5,-0.3833,10.6263,0.08914,8.238,8.943,12.781,14.09
