# WHO growth reference table, vendored for PoshanNetra AI (Section 6.4).
# source_url: https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/weight-for-age/expanded-tables/wfa-girls-zscore-expanded-tables.xlsx
# retrieved: 2026-08-28
# sha256(source_xlsx): ee3ae12cb96c6c5541cdf43665c03ce6c984f877859a183a5f6104eb06a49a6e
# key column 'Day' is in days; rows: 1857
# sd* columns are WHO's OWN published cut-offs, kept only so the test
# suite can prove our LMS implementation reproduces them exactly.
key,l,m,s,sd3neg,sd2neg,sd2pos,sd3pos
89,0.044,5.7969,0.12641,3.955,4.496,7.454,8.444
90,0.0424,5.8181,0.12631,3.971,4.513,7.48,8.473
91,0.0407,5.8393,0.12622,3.987,4.531,7.506,8.503
92,0.0391,5.8602,0.12613,4.003,4.548,7.532,8.532
93,0.0375,5.881,0.12604,4.018,4.565,7.558,8.561
94,0.0358,5.9017,0.12595,4.034,4.582,7.584,8.59
95,0.0342,5.9223,0.12586,4.05,4.599,7.609,8.618
96,0.0327,5.9427,0.12577,4.065,4.616,7.634,8.647
97,0.0311,5.9629,0.12569,4.081,4.633,7.66,8.675
98,0.0295,5.9831,0.12561,4.096,4.65,7.685,8.703
99,0.0279,6.0031,0.12553,4.111,4.666,7.71,8.731
100,0.0264,6.0229,0.12545,4.126,4.683,7.734,8.759
101,0.0249,6.0426,0.12537,4.141,4.699,7.759,8.786
102,0.0233,6.0622,0.12529,4.156,4.715,7.783,8.814
103,0.0218,6.0817,0.12522,4.171,4.731,7.807,8.841
104,0.0203,6.101,0.12514,4.185,4.747,7.831,8.868
105,0.0188,6.1202,0.12507,4.2,4.763,7.855,8.895
106,0.0173,6.1393,0.125,4.214,4.779,7.879,8.922
107,0.0158,6.1582,0.12493,4.229,4.794,7.902,8.948
108,0.0144,6.1771,0.12486,4.243,4.81,7.926,8.975
109,0.0129,6.1958,0.12479,4.257,4.825,7.949,9.001
110,0.0114,6.2143,0.12472,4.271,4.841,7.972,9.027
111,0.01,6.2328,0.12466,4.285,4.856,7.995,9.053
112,0.0086,6.2511,0.12459,4.299,4.871,8.018,9.079
113,0.0071,6.2693,0.12453,4.313,4.886,8.041,9.104
114,0.0057,6.2874,0.12447,4.326,4.901,8.063,9.13
115,0.0043,6.3054,0.12441,4.34,4.916,8.086,9.155
116,0.0029,6.3232,0.12435,4.353,4.93,8.108,9.18
117,0.0015,6.341,0.12429,4.367,4.945,8.13,9.206
118,0.0001,6.3586,0.12423,4.38,4.96,8.152,9.23
119,-0.0013,6.3761,0.12417,4.394,4.974,8.174,9.255
120,-0.0026,6.3935,0.12412,4.407,4.988,8.196,9.28
121,-0.004,6.4108,0.12406,4.42,5.003,8.217,9.304
