# WHO growth reference table, vendored for PoshanNetra AI (Section 6.4).
# source_url: https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/weight-for-age/expanded-tables/wfa-boys-zscore-expanded-tables.xlsx
# retrieved: 2026-08-28
# sha256(source_xlsx): b5b4748c6bfa5230e2eddafa1767629c349178b08d457f400b59422b8bfef86c
# key column 'Day' is in days; rows: 1857
# sd* columns are WHO's OWN published cut-offs, kept only so the test
# suite can prove our LMS implementation reproduces them exactly.
key,l,m,s,sd3neg,sd2neg,sd2pos,sd3pos
234,0.1055,8.5198,0.10886,6.111,6.836,10.566,11.746
235,0.1051,8.53,0.10885,6.118,6.844,10.579,11.759
236,0.1048,8.5401,0.10885,6.126,6.852,10.591,11.774
237,0.1044,8.5502,0.10884,6.133,6.86,10.604,11.787
238,0.104,8.5603,0.10884,6.141,6.869,10.616,11.802
239,0.1037,8.5704,0.10884,6.148,6.877,10.629,11.816
240,0.1033,8.5804,0.10883,6.156,6.885,10.641,11.829
241,0.103,8.5903,0.10883,6.163,6.893,10.654,11.843
242,0.1026,8.6003,0.10882,6.17,6.901,10.666,11.857
243,0.1023,8.6102,0.10882,6.177,6.909,10.678,11.871
244,0.1019,8.62,0.10882,6.185,6.917,10.69,11.884
245,0.1015,8.6299,0.10882,6.192,6.925,10.703,11.898
246,0.1012,8.6397,0.10881,6.199,6.933,10.715,11.912
247,0.1008,8.6494,0.10881,6.206,6.941,10.727,11.925
248,0.1005,8.6592,0.10881,6.213,6.949,10.739,11.939
249,0.1001,8.6689,0.10881,6.221,6.957,10.751,11.953
250,0.0998,8.6785,0.10881,6.228,6.965,10.763,11.966
251,0.0994,8.6882,0.1088,6.235,6.973,10.775,11.979
252,0.0991,8.6978,0.1088,6.242,6.98,10.787,11.993
253,0.0987,8.7073,0.1088,6.249,6.988,10.799,12.006
254,0.0984,8.7169,0.1088,6.256,6.996,10.811,12.02
255,0.0981,8.7264,0.1088,6.263,7.003,10.823,12.033
256,0.0977,8.7359,0.1088,6.27,7.011,10.835,12.046
257,0.0974,8.7453,0.1088,6.277,7.019,10.847,12.059
258,0.097,8.7548,0.1088,6.283,7.026,10.858,12.073
259,0.0967,8.7642,0.1088,6.29,7.034,10.87,12.086
260,0.0963,8.7735,0.1088,6.297,7.042,10.882,12.099
261,0.096,8.7829,0.1088,6.304,7.049,10.893,12.112
262,0.0957,8.7922,0.1088,6.311,7.057,10.905,12.125
263,0.0953,8.8015,0.1088,6.318,7.064,10.917,12.138
264,0.095,8.8107,0.1088,6.324,7.072,10.928,12.151
265,0.0947,8.82,0.1088,6.331,7.079,10.94,12.164
266,0.0943,8.8292,0.1088,6.338,7.087,10.951,12.177
267,0.094,8.8384,0.1088,6.345,7.094,10.963,12.19
268,0.0937,8.8475,0.1088,6.351,7.101,10.974,12.203
269,0.0933,8.8567,0.1088,6.358,7.109,10.986,12.215
270,0.093,8.8658,0.1088,6.365,7.116,10.997,12.228
271,0.0927,8.8748,0.1088,6.371,7.123,11.008,12.241
272,0.0923,8.8839,0.10881,6.378,7.131,11.02,12.254
273,0.092,8.8929,0.10881,6.384,7.138,11.031,12.267
274,0.0917,8.9019,0.10881,6.391,7.145,11.042,12.279
275,0.0913,8.9109,0.10881,6.397,7.153,11.054,12.292
276,0.091,8.9199,0.10881,6.404,7.16,11.065,12.304
277,0.0907,8.9288,0.10882,6.41,7.167,11.076,12.317
278,0.0904,8.9377,0.10882,6.417,7.174,11.087,12.33
279,0.09,8.9466,0.10882,6.423,7.181,11.098,12.342
280,0.0897,8.9555,0.10882,6.43,7.188,11.11,12.355
281,0.0894,8.9643,0.10882,6.436,7.196,11.121,12.367
282,0.0891,8.9731,0.10883,6.442,7.203,11.132,12.38
283,0.0887,8.9819,0.10883,6.449,7.21,11.143,12.392
284,0.0884,8.9907,0.10883,6.455,7.217,11.154,12.404
285,0.0881,8.9995,0.10884,6.461,7.224,11.165,12.417
286,0.0878,9.0082,0.10884,6.468,7.231,11.176,12.429
287,0.0875,9.0169,0.10884,6.474,7.238,11.187,12.442
288,0.0871,9.0256,0.10884,6.481,7.245,11.198,12.454
289,0.0868,9.0342,0.10885,6.487,7.252,11.209,12.466
290,0.0865,9.0429,0.10885,6.493,7.259,11.22,12.478
291,0.0862,9.0515,0.10885,6.499,7.266,11.23,12.491
292,0.0859,9.0601,0.10886,6.505,7.272,11.241,12.503
293,0.0856,9.0687,0.10886,6.512,7.279,11.252,12.515
294,0.0852,9.0772,0.10887,6.518,7.286,11.263,12.527
295,0.0849,9.0858,0.10887,6.524,7.293,11.274,12.539
296,0.0846,9.0943,0.10887,6.53,7.3,11.284,12.551
297,0.0843,9.1028,0.10888,6.536,7.307,11.295,12.564
298,0.084,9.1113,0.10888,6.542,7.314,11.306,12.576
299,0.0837,9.1198,0.10888,6.549,7.321,11.316,12.587
300,0.0834,9.1282,0.10889,6.555,7.327,11.327,12.6
301,0.0831,9.1366,0.10889,6.561,7.334,11.338,12.611
302,0.0827,9.145,0.1089,6.567,7.341,11.348,12.624
303,0.0824,9.1534,0.1089,6.573,7.347,11.359,12.635
304,0.0821,9.1618,0.1089,6.579,7.354,11.369,12.647
305,0.0818,9.1701,0.10891,6.585,7.361,11.38,12.659
306,0.0815,9.1785,0.10891,6.591,7.368,11.39,12.671
307,0.0812,9.1868,0.10892,6.597,7.374,11.401,12.683
308,0.0809,9.1951,0.10892,6.603,7.381,11.411,12.695
309,0.0806,9.2034,0.10893,6.609,7.387,11.422,12.707
310,0.0803,9.2117,0.10893,6.615,7.394,11.432,12.718
311,0.08,9.2199,0.10894,6.621,7.401,11.443,12.73
312,0.0797,9.2282,0.10894,6.627,7.407,11.453,12.742
313,0.0794,9.2364,0.10894,6.633,7.414,11.464,12.753
314,0.0791,9.2446,0.10895,6.639,7.42,11.474,12.765
315,0.0788,9.2528,0.10895,6.645,7.427,11.484,12.777
316,0.0785,9.261,0.10896,6.65,7.434,11.495,12.789
317,0.0782,9.2691,0.10896,6.656,7.44,11.505,12.8
318,0.0779,9.2773,0.10897,6.662,7.447,11.515,12.812
319,0.0776,9.2854,0.10897,6.668,7.453,11.525,12.823
320,0.0773,9.2935,0.10898,6.674,7.46,11.536,12.835
321,0.077,9.3016,0.10898,6.68,7.466,11.546,12.847
322,0.0767,9.3097,0.10899,6.685,7.473,11.556,12.858
323,0.0764,9.3178,0.10899,6.691,7.479,11.566,12.87
324,0.0761,9.3258,0.109,6.697,7.485,11.577,12.881
325,0.0758,9.3339,0.10901,6.703,7.492,11.587,12.893
326,0.0755,9.3419,0.10901,6.708,7.498,11.597,12.904
327,0.0752,9.3499,0.10902,6.714,7.505,11.607,12.916
328,0.0749,9.3579,0.10902,6.72,7.511,11.617,12.927
329,0.0746,9.3659,0.10903,6.726,7.517,11.628,12.939
330,0.0744,9.3739,0.10903,6.731,7.524,11.638,12.95
331,0.0741,9.3819,0.10904,6.737,7.53,11.648,12.962
332,0.0738,9.3898,0.10904,6.743,7.537,11.658,12.973
333,0.0735,9.3978,0.10905,6.749,7.543,11.668,12.984
334,0.0732,9.4057,0.10905,6.754,7.549,11.678,12.996
335,0.0729,9.4136,0.10906,6.76,7.556,11.688,13.007
336,0.0726,9.4215,0.10907,6.765,7.562,11.698,13.019
337,0.0723,9.4294,0.10907,6.771,7.568,11.708,13.03
338,0.072,9.4373,0.10908,6.777,7.574,11.718,13.041
339,0.0718,9.4452,0.10908,6.783,7.581,11.728,13.052
340,0.0715,9.453,0.10909,6.788,7.587,11.738,13.064
341,0.0712,9.4609,0.1091,6.794,7.593,11.748,13.075
342,0.0709,9.4687,0.1091,6.799,7.6,11.758,13.086
343,0.0706,9.4765,0.10911,6.805,7.606,11.768,13.097
344,0.0703,9.4844,0.10911,6.811,7.612,11.778,13.109
345,0.0701,9.4922,0.10912,6.816,7.618,11.788,13.12
346,0.0698,9.4999,0.10913,6.822,7.624,11.798,13.131
347,0.0695,9.5077,0.10913,6.827,7.631,11.807,13.142
348,0.0692,9.5155,0.10914,6.833,7.637,11.817,13.154
349,0.0689,9.5232,0.10915,6.838,7.643,11.827,13.165
350,0.0686,9.531,0.10915,6.844,7.649,11.837,13.176
351,0.0684,9.5387,0.10916,6.849,7.655,11.847,13.187
352,0.0681,9.5464,0.10916,6.855,7.661,11.857,13.198
353,0.0678,9.5542,0.10917,6.86,7.668,11.867,13.209
354,0.0675,9.5619,0.10918,6.866,7.674,11.876,13.22
355,0.0672,9.5696,0.10918,6.872,7.68,11.886,13.231
356,0.067,9.5772,0.10919,6.877,7.686,11.896,13.242
357,0.0667,9.5849,0.1092,6.882,7.692,11.906,13.253
358,0.0664,9.5926,0.1092,6.888,7.698,11.915,13.264
359,0.0661,9.6002,0.10921,6.893,7.704,11.925,13.275
360,0.0659,9.6079,0.10922,6.899,7.71,11.935,13.287
361,0.0656,9.6155,0.10922,6.904,7.716,11.944,13.297
362,0.0653,9.6231,0.10923,6.91,7.722,11.954,13.308
363,0.065,9.6308,0.10924,6.915,7.729,11.964,13.32
364,0.0648,9.6384,0.10925,6.92,7.735,11.974,13.331
365,0.0645,9.646,0.10925,6.926,7.741,11.983,13.341
366,0.0642,9.6535,0.10926,6.931,7.747,11.993,13.352
367,0.064,9.6611,0.10927,6.937,7.753,12.003,13.363
368,0.0637,9.6687,0.10927,6.942,7.759,12.012,13.374
369,0.0634,9.6763,0.10928,6.948,7.765,12.022,13.385
370,0.0631,9.6838,0.10929,6.953,7.771,12.032,13.396
371,0.0629,9.6914,0.1093,6.958,7.777,12.041,13.407
372,0.0626,9.6989,0.1093,6.964,7.783,12.051,13.418
373,0.0623,9.7064,0.10931,6.969,7.789,12.06,13.429
374,0.0621,9.7139,0.10932,6.974,7.795,12.07,13.44
375,0.0618,9.7214,0.10933,6.979,7.8,12.08,13.451
376,0.0615,9.7289,0.10933,6.985,7.807,12.089,13.461
377,0.0613,9.7364,0.10934,6.99,7.812,12.099,13.472
378,0.061,9.7439,0.10935,6.995,7.818,12.108,13.483
379,0.0607,9.7514,0.10936,7.001,7.824,12.118,13.494
380,0.0605,9.7588,0.10936,7.006,7.83,12.127,13.505
381,0.0602,9.7663,0.10937,7.011,7.836,12.137,13.516
382,0.0599,9.7738,0.10938,7.017,7.842,12.147,13.527
383,0.0597,9.7812,0.10939,7.022,7.848,12.156,13.537
384,0.0594,9.7886,0.10939,7.027,7.854,12.165,13.548
385,0.0591,9.796,0.1094,7.033,7.86,12.175,13.559
386,0.0589,9.8035,0.10941,7.038,7.866,12.184,13.57
387,0.0586,9.8109,0.10942,7.043,7.871,12.194,13.581
388,0.0583,9.8183,0.10943,7.048,7.877,12.204,13.591
389,0.0581,9.8257,0.10943,7.054,7.883,12.213,13.602
390,0.0578,9.833,0.10944,7.059,7.889,12.222,13.612
391,0.0576,9.8404,0.10945,7.064,7.895,12.232,13.623
392,0.0573,9.8478,0.10946,7.069,7.901,12.241,13.634
393,0.057,9.8551,0.10947,7.074,7.906,12.251,13.645
394,0.0568,9.8625,0.10948,7.079,7.912,12.26,13.656
395,0.0565,9.8699,0.10948,7.085,7.918,12.269,13.666
396,0.0563,9.8772,0.10949,7.09,7.924,12.279,13.677
397,0.056,9.8845,0.1095,7.095,7.93,12.288,13.687
398,0.0557,9.8918,0.10951,7.1,7.935,12.298,13.698
399,0.0555,9.8992,0.10952,7.105,7.941,12.307,13.709
400,0.0552,9.9065,0.10953,7.111,7.947,12.316,13.72
