# WHO growth reference table, vendored for PoshanNetra AI (Section 6.4).
# source_url: https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/weight-for-length-height/expanded-tables/wfh-girls-zscore-expanded-tables.xlsx
# retrieved: 2026-08-28
# sha256(source_xlsx): fca340d5f04aa1556ac410b176b65b290e1b9ff467fc854a97f9b54ad94c9b8a
# key column 'Height' is in cms; rows: 551
# sd* columns are WHO's OWN published cut-offs, kept only so the test
# suite can prove our LMS implementation reproduces them exactly.
key,l,m,s,sd3neg,sd2neg,sd2pos,sd3pos
73.1,-0.3833,8.9217,0.09021,6.896,7.493,10.756,11.872
73.2,-0.3833,8.941,0.0902,6.911,7.51,10.779,11.898
73.3,-0.3833,8.9601,0.09018,6.927,7.526,10.801,11.922
73.4,-0.3833,8.9792,0.09017,6.942,7.542,10.824,11.947
73.5,-0.3833,8.9983,0.09016,6.957,7.559,10.847,11.972
73.6,-0.3833,9.0173,0.09014,6.972,7.575,10.869,11.997
73.7,-0.3833,9.0363,0.09013,6.986,7.591,10.892,12.022
73.8,-0.3833,9.0552,0.09012,7.001,7.607,10.915,12.046
73.9,-0.3833,9.074,0.09011,7.016,7.623,10.937,12.071
74,-0.3833,9.0928,0.09009,7.031,7.639,10.959,12.095
74.1,-0.3833,9.1116,0.09008,7.046,7.655,10.982,12.12
74.2,-0.3833,9.1303,0.09007,7.06,7.671,11.004,12.144
74.3,-0.3833,9.149,0.09005,7.075,7.687,11.026,12.168
74.4,-0.3833,9.1676,0.09004,7.09,7.702,11.048,12.193
74.5,-0.3833,9.1862,0.09003,7.104,7.718,11.07,12.217
74.6,-0.3833,9.2048,0.09001,7.119,7.734,11.092,12.241
74.7,-0.3833,9.2233,0.09,7.134,7.75,11.114,12.265
74.8,-0.3833,9.2418,0.08999,7.148,7.766,11.136,12.289
74.9,-0.3833,9.2602,0.08997,7.163,7.781,11.158,12.313
75,-0.3833,9.2786,0.08996,7.177,7.797,11.18,12.337
75.1,-0.3833,9.297,0.08995,7.192,7.812,11.202,12.361
75.2,-0.3833,9.3154,0.08993,7.206,7.828,11.224,12.385
75.3,-0.3833,9.3337,0.08992,7.221,7.844,11.246,12.408
75.4,-0.3833,9.352,0.08991,7.235,7.859,11.267,12.432
75.5,-0.3833,9.3703,0.08989,7.249,7.875,11.289,12.456
75.6,-0.3833,9.3886,0.08988,7.264,7.89,11.311,12.48
75.7,-0.3833,9.4069,0.08987,7.278,7.906,11.333,12.504
75.8,-0.3833,9.4252,0.08985,7.293,7.922,11.354,12.527
75.9,-0.3833,9.4435,0.08984,7.307,7.937,11.376,12.551
76,-0.3833,9.4617,0.08983,7.321,7.953,11.398,12.575
76.1,-0.3833,9.48,0.08981,7.336,7.968,11.419,12.598
76.2,-0.3833,9.4983,0.0898,7.35,7.984,11.441,12.622
76.3,-0.3833,9.5166,0.08979,7.365,7.999,11.463,12.646
76.4,-0.3833,9.535,0.08977,7.379,8.015,11.484,12.67
76.5,-0.3833,9.5533,0.08976,7.394,8.031,11.506,12.694
76.6,-0.3833,9.5717,0.08975,7.408,8.046,11.528,12.718
76.7,-0.3833,9.5901,0.08973,7.423,8.062,11.55,12.741
76.8,-0.3833,9.6086,0.08972,7.437,8.078,11.572,12.765
76.9,-0.3833,9.6271,0.08971,7.452,8.094,11.594,12.79
77,-0.3833,9.6456,0.08969,7.466,8.109,11.616,12.813
77.1,-0.3833,9.6642,0.08968,7.481,8.125,11.638,12.838
77.2,-0.3833,9.6828,0.08966,7.496,8.141,11.66,12.861
77.3,-0.3833,9.7015,0.08965,7.511,8.157,11.682,12.886
77.4,-0.3833,9.7202,0.08964,7.525,8.173,11.704,12.91
77.5,-0.3833,9.739,0.08963,7.54,8.189,11.727,12.935
77.6,-0.3833,9.7578,0.08961,7.555,8.205,11.749,12.959
77.7,-0.3833,9.7767,0.0896,7.57,8.221,11.771,12.984
