# Indian Food Composition Tables 2017 (ICMR-National Institute of Nutrition).
# Vendored for PoshanNetra AI (master prompt, Section 4).
# source_package: @ifct2017/compositions@2.0.9 (npm, MIT)
# source_tarball: https://registry.npmjs.org/@ifct2017/compositions/-/compositions-2.0.9.tgz
# sha256(tarball): 623e31d4ea355cc829429c2d8e776fbdb5eba953ea713bad2b01c962d3e2cfd5
# retrieved: 2026-08-28
# upstream_publication: https://www.nin.res.in/ebooks/IFCT2017.pdf
# ATTRIBUTION REQUIRED: any surface that shows these numbers must credit
#   'Indian Food Composition Tables 2017, ICMR-National Institute of Nutrition'.
# Energy is in KILOJOULES, as IFCT publishes it. kcal conversion happens in
#   app/nutrition/ifct.py and is unit-tested. Edible oils and fats are
#   published with energy_kj = 0; energy for those is derived from macros.
# *_e columns are IFCT's own national variability across six sampled regions.
# Values are per 100 g of RAW edible portion -- not cooked. See
#   app/nutrition/recipes.py for how cooked dishes are converted.
code,name,scientific_name,local_names,food_group,tags,energy_kj,energy_kj_e,protein_g,protein_g_e,carbohydrate_g,carbohydrate_g_e,fat_g,fat_g_e,fibre_g,water_g,hindi_name
A013,"Rice, raw, brown",Oryza sativa,A. Matia rangar chaul; E. Whole grain rice; G. Kathai chokha; H. Chawal; P. Bhura choul; Kash. Tomul; Kh. Khaw saw; Mal. Kuthari ; M. Cheng; Tam. Arisi; Tel. Dampudu biyyam.,Cereals and Millets,vegetarian eggetarian fishetarian veg,1480,10,9.16,0.75,74.8,0.85,1.24,0.08,4.43,9.33,Chawal
A014,"Rice, parboiled, milled",Oryza sativa,A. Ukhua chaul; B. Siddha chowl; E. Converted rice; G. Bafela Chokha; H. Usna chawal; Kan. Kusubalakki; Kash. Tomul; Kh. Khaw boil; Mal. Puzhungal ari; M. Cheng; Mar. Ukadla tandool; O. Usuna chaula; P. Biga hua chawal; Tam. Puzhungal arisi; Tel. Uppudu biyyam.,Cereals and Millets,vegetarian eggetarian fishetarian veg,1471,8,7.81,0.63,77.16,0.76,0.55,0.08,3.74,10.09,Usna chawal
A015,"Rice, raw, milled",Oryza sativa,A. Milat khunda chaul; B. Chowl; G. Choka; H. Chawal; Kan. Akki; Kash. Tomul; Kh. Khaw boil; M. Cheng; Mar. Tondool; O. Chaula; P. Chaul; Tam. Arisi; Tel. Biyyam.,Cereals and Millets,vegetarian eggetarian fishetarian veg,1491,15,7.94,0.58,78.24,1.07,0.52,0.05,2.81,9.93,Chawal
A016,Samai,Panicum miliare,B. Sama; E. Little millet; G. Kuri; H. Shavan; Kan. Sama; Kash. Ganuhaar; Mal. Chama; Mar. Sava; O. Suan; P. Swank; Tam. Samai; Tel. Sama.,Cereals and Millets,vegetarian eggetarian fishetarian veg,1449,19,10.13,0.45,65.55,1.29,3.89,0.35,7.72,11.36,Shavan
A017,Varagu,Setaria italica,A. Konidhan; B. Syama dhan; E. Kodo millet; G. Ral gana; Kan. Priyangu thene; Kash. Snol; Mal. Thina; Mar. Rala; P. Kangni; Tam. Thinai; Tel. Karralu.,Cereals and Millets,vegetarian eggetarian fishetarian veg,1388,10,8.92,1.09,66.19,1.19,2.55,0.13,6.39,14.23,
A018,"Wheat flour, refined",Triticum aestivum,A. Moida; B. Maida; G. Maido; H. Maida; Kan. Maida; Kash. Oat; Kh. Moida; Mal. Maida mavu; M. Moida; Mar. Maida; N. Maida; O. Maida; P. Maida; Tam. Maida mavu; Tel. Maida pindi; U. Maida.,Cereals and Millets,vegetarian eggetarian fishetarian veg,1472,16,10.36,0.29,74.27,0.92,0.76,0.07,2.76,11.34,Maida
A019,"Wheat flour, atta",Triticum aestivum,B. Ata; G. Samagra gha; H. Atta; Kan. Sampurna godhi hittu; Kash. Oat unno lota ghaun no lot; Mal. Godhambu mavu; Mar. Kaneek; O. Gahama atta; P. Atta; Tam. Mulu Godumai maavu; Tel. Sampurna godhuma pindi.,Cereals and Millets,vegetarian eggetarian fishetarian veg,1340,7,10.57,0.37,64.17,0.32,1.53,0.12,11.36,11.1,Atta
A020,"Wheat, whole",Triticum aestivum,A. Ghehu; B. Gom; G. Ghaun; H. Gehun; Kan. Godhi; Kash. Kinek; Kh. Ukew; Mal. Godhumbu; M. Ghehu; Mar. Gehu; N. Gau; O. Gahama; P. Kanaka; S. Godhum; Tam. Godumai; Tel. Godhumalu; U. Gehun.,Cereals and Millets,vegetarian eggetarian fishetarian veg,1347,23,10.59,0.6,64.72,1.74,1.47,0.05,11.23,10.58,Gehun
A021,"Wheat, bulgur",Triticum aestivum,"A. Dalia; B. Dalia; E. Burghul, Groats, Durum Wheat, Pasta wheat, Macaroni wheat; G. Bulgur ghaum; H. Dalia; Kan. Bulgur godhi; Kash. Kinek; Kh. Kew; Mal. Godhambu Ravu; Mar. Bulgur gahu; N. Gau ko pitho; O. Dalia; P. Dalia; Tam. Godumai ravai; Tel. Bulgur; U. Dalia.",Cereals and Millets,vegetarian eggetarian fishetarian veg,1430,6,10.84,0.75,69.06,0.74,1.45,0.02,8.81,8.61,Dalia
A022,"Wheat, semolina",Triticum aestivum,"A. Suji; B. Suji; E. Durum wheat, Pasta wheat, Macaroni wheat; G. Ghaum soji; H. Gehun suji; Kan. Godhi rave; Kash. Sooj; Kh. Suji; Mal. Uppumavu; M. Suji; Mar. Gahu rava; N. Suji; O. Suji; P. Suji; Tam. Godumai ravai; Tel. Godhuma rava.",Cereals and Millets,vegetarian eggetarian fishetarian veg,1396,18,11.38,0.37,68.43,0.99,0.74,0.1,9.72,8.94,Gehun suji
A023,"Wheat, vermicelli",Triticum aestivum,A. Sewai; B. Semai; E. Very thin pasta; G. Ghaun ni sev; H. Siwain; Kan. Shevige; Kash. Sewian; Kh. Sewai lieh; Mal. Semiya; Mar. Siwain; O. Simai; P. Sevian; Tam. Semiya; Tel. Semiya; U. Semiya.,Cereals and Millets,vegetarian eggetarian fishetarian veg,1392,8,9.7,0.52,70.39,0.61,0.45,0.03,9.28,9.59,Siwain
A024,"Wheat, vermicelli, roasted",Triticum aestivum,A. Gom sewai; B. Semai; E. Very thin pasta; G. Ghaun ni Shekeli sev; H. Siwain; Kan. Shevige; Kash. Sewian; Kh. Sewai saw; Mal. Semiya; Mar. Siwain; O. Simai; P. Bhooni sevian; Tam. Semiya; Tel. Semiya; U. Semiya.,Cereals and Millets,vegetarian eggetarian fishetarian veg,1423,13,10.37,0.7,71.42,0.71,0.49,0.05,9.55,7.61,Siwain
B001,"Bengal gram, dal",Cicer arietinum,"A. Boot dail; B. Cholar dal; E. Split Bengal gram, Chickpea; G. Chana-ni-daad; H. Chan-ki-dal; Kan. Kadale bele; Kash. Chanu dal; Kh. Dai shana; Mal. Kadala parippu; M. Chana Tangkhai; Mar. Harabara dal; N. Chana ko Dal; O. Channa dali (Buta dali); P. Sholedi dal; Tam. Kadalaiparuppu; Tel. Sanaga papu; U. Chane ki dal.",Grain Legumes,vegetarian eggetarian fishetarian veg,1377,10,21.55,1.45,46.72,1.29,5.31,0.06,15.15,9.18,Chan-ki-dal
B002,"Bengal gram, whole",Cicer arietinum,"A. Boot; B. Chola; E. Chickpea; G. Chana; H. Chana, Kala chana; Kan. Kadale; Kash. Chanu; Kh. Shana kulai; Mal. Kadala; Mar. Harbara; M. Chana Mapum; N. Kabuli Chana; O. Buta; P. Shole; S. Chanak; Tam. Kondaikadalai; Tel. Sanagalu; U. Chana.",Grain Legumes,vegetarian eggetarian fishetarian veg,1201,9,18.77,0.42,39.56,0.16,5.11,0.11,25.22,8.56,"Chana, Kala chana"
B003,"Black gram, dal",Phaseolus mungo,"A. Matir dail phola; B. Biulir dal; E. Urad bean, Mungo bean, Black matpe bean; G. Aadad ni daad; H. Urad dal; Kan. Uddhina bele; Kash. Kaha; Mal. Uzhunnu parippu; M. Sagol Hawai Tangkhai; Mar. Uddachi dal; N. Maas ko dal; O. Birri dali, Biri dali; P. Maa ki daal; S. Maassa; Tam. Ulutham paruppu; Tel. Minapa pappu; U. Mash ki dal.",Grain Legumes,vegetarian eggetarian fishetarian veg,1356,9,23.06,0.59,51,0.8,1.69,0.12,11.93,9.16,Urad dal
B004,"Black gram, whole",Phaseolus mungo,"A. Gota mati mah; B. Mashkolail; E. Urad bean, Mungo bean, Black matpe bean; G. Adad; H. Chhilke wali urad dal; Kan. Uddhina bele; Kash. Kaha; Kh. Dai iong; Mal. Uzhunu; M. Sagol Hawai; Mar. Uddachi dal; O. Birri, Biri; P. Sabut maa ki daal; Tam. Ulundhu; Tel. Minumulu Mapum",Grain Legumes,vegetarian eggetarian fishetarian veg,1219,5,21.97,0.63,43.99,0.76,1.58,0.06,20.41,8.7,Chhilke wali urad dal
B005,"Cowpea, brown",Vigna catjang,"A. Lesera mahor guti; B. Barbati; E. Black eyed peas, Lobia peas; G. Chorap; H. Lobia; Kan. Alasande; Kh. Rymbai; Mal. Vella payaru; M. Pong Hawai; Mar. Chavli; N. Bodi; O. Jhudunga; P. Lobia; S. Raajamaassa; Tam. Karamani; Tel. Bobbarlu; U. baunir.",Grain Legumes,vegetarian eggetarian fishetarian veg,1340,7,20.36,0.59,54.62,0.49,1.15,0.06,11.54,9.42,Lobia
B006,"Cowpea, white",Vigna catjang,"A. Lesera mahor guti; B. Barbati; E. Black eyed peas, Lobia peas; G. Chorap; H. Lobia; Kan. Alasande; Kh. Rymbai lieh; Mal. Vella payaru; M. Pong Hawai; Mar. Chavli; N. Bodi; O. Jhudunga; P. Lobia; S. Raajamaassa; Tam. Karamani; Tel. Bobbarlu; U. Baunir.",Grain Legumes,vegetarian eggetarian fishetarian veg,1340,0,21.25,0,53.77,0,1.14,0,11.7,9.32,Lobia
B007,"Field bean, black",Phaseolus vulgaris,"A. Urohi guti; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Moang; Kh. Symbai Ri iong; Mal. Avar; Mar. Papta; O. Baragudi; P. Sem dal; Tam. Mochai; Tel. Chikkudu ginjalu.",Grain Legumes,vegetarian eggetarian fishetarian veg,1155,0,19.93,0,43.46,0,0.92,0,23.4,9.57,Sem
B008,"Field bean, brown",Phaseolus vulgaris,"A. Urohi guti; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Moang; Kh. Symbai ri saw; Mal. Avar; Mar. Papta; O. Baragudi; Tam. Mochai; Tel. Chikkudu ginjalu.",Grain Legumes,vegetarian eggetarian fishetarian veg,1184,0,19.9,0,45.24,0,0.98,0,22.4,8.74,Sem
B009,"Field bean, white",Phaseolus vulgaris,"A. Urohi guti; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Moang; Kh. Symbai Ri lieh; Mal. Avar; Mar. Papta; O. Baragudi; Tam. Mochai; Tel. Chikkudu ginjalu.",Grain Legumes,vegetarian eggetarian fishetarian veg,1173,24,19.84,1.04,44.53,1.42,0.94,0.02,22.99,8.61,Sem
B010,"Green gram, dal",Phaseolus aureus,"A. Dhua mogu dail; B. Mung dal; E. Mung bean, Maash, Moong; G. Mug ni daad; H. Mug dal; Kan. Hesara bele; Kash. Muang dal; Kh. U dai stem; Mal. Cheru payar parippu; M. Mung Hawai; Mar. Mug dal; N. Moong ko khoste; O. Muga Dali; P. Mungi-di-dal; Tam. Payatham paruppu; Tel. Pesara pappu; U. Moong dal.",Grain Legumes,vegetarian eggetarian fishetarian veg,1363,10,23.88,0.61,52.59,0.45,1.35,0.2,9.37,9.77,Mug dal
B011,"Green gram, whole",Phaseolus aureus,"A. Gota mogu mah; B. Moog; E. Mung bean, Maash, Moong; G. Mug; H. Mung; Kan. Hesare kalu; Kash. Muang; Kh. U dai jyrngam; Mal. Cheru Pararu; M. Mung Hawai; Mar. Mun; N. Moong; O. Muga; P. Sabut moong dal; S. Mudra; Tam. Pasipayir; Tel. Pesalu; U. Moong.",Grain Legumes,vegetarian eggetarian fishetarian veg,1229,10,22.53,0.43,46.13,0.64,1.14,0.17,17.04,9.95,Mung
B012,"Horse gram, whole",Dolicus biflorus,"B. Kulotto- kalai; E. Kulthi bean, Hurali, Madras gram; G. Kuleeth; H. Kulthi; Kan. Hurule; Kash. Kurath; Mal. Muthira; Mar. Kuleeth; N. Bakulla; O. Kolatha; S. Kulattha; Tam. Kollu; Tel. Ulavalu; U. Kulthi.",Grain Legumes,vegetarian eggetarian fishetarian veg,1379,9,21.73,0.29,57.24,0.5,0.62,0.04,7.88,9.28,Kulthi
B013,Lentil dal,Lens culinaris,A. Masur dail; B. Mosur dal; G. Masoor ni daad; H. Masoor dal; Kan. Laki Bele; Kash. Masoor; Kh. U dai saw; Mal. Vattu parippu; M. Hawai Masuri; Mar. lank dal; O. Masura dali; P. Dhooli masari dal; S. Triputta; Tam. Khesari paruppu; Tel. Lanka pappu.,Grain Legumes,vegetarian eggetarian fishetarian veg,1349,11,24.35,1.1,52.53,1.05,0.75,0.04,10.43,9.71,Masoor dal
