# Indian Food Composition Tables 2017 (ICMR-National Institute of Nutrition).
# Vendored for PoshanNetra AI (master prompt, Section 4).
# source_package: @ifct2017/compositions@2.0.9 (npm, MIT)
# source_tarball: https://registry.npmjs.org/@ifct2017/compositions/-/compositions-2.0.9.tgz
# sha256(tarball): 623e31d4ea355cc829429c2d8e776fbdb5eba953ea713bad2b01c962d3e2cfd5
# retrieved: 2026-08-28
# upstream_publication: https://www.nin.res.in/ebooks/IFCT2017.pdf
# ATTRIBUTION REQUIRED: any surface that shows these numbers must credit
#   'Indian Food Composition Tables 2017, ICMR-National Institute of Nutrition'.
# Energy is in KILOJOULES, as IFCT publishes it. kcal conversion happens in
#   app/nutrition/ifct.py and is unit-tested. Edible oils and fats are
#   published with energy_kj = 0; energy for those is derived from macros.
# *_e columns are IFCT's own national variability across six sampled regions.
# Values are per 100 g of RAW edible portion -- not cooked. See
#   app/nutrition/recipes.py for how cooked dishes are converted.
code,name,scientific_name,local_names,food_group,tags,energy_kj,energy_kj_e,protein_g,protein_g_e,carbohydrate_g,carbohydrate_g_e,fat_g,fat_g_e,fibre_g,water_g,hindi_name
B024,"Soya bean, brown",Glycine max,A. Soya bean; B. Garikalai; E. Soybean; G. Soya bean; H. Bhatmas; Kan. Soya bean; Kash. Muth; Kh. Toh rymbai; Mal. Soya bean; M. Nunghawai; Mar. Soya bean; N. Bhatmas; O. Soya bean; P. Soya bean dal; Tam. Soya bean; Tel. Soya bean; U. Soya.,Grain Legumes,vegetarian eggetarian fishetarian veg,1596,11,35.58,0.66,12.79,0.97,19.82,0.26,21.55,5.51,Bhatmas
B025,"Soya bean, white",Glycine max,A. Soya bean; B. Garikalai; E. Soybean; G. Soya bean; H. Bhatmas; Kan. Soya bean; Kash. Muth; Kh. Toh rymbai; Mal. Soya bean; M. Nunghawai; Mar. Soya bean; N. Bhatmas; O. Soya bean; P. Soya bean dal; Tel. Soya bean; Tam. Soya bean; U. Soya.,Grain Legumes,vegetarian eggetarian fishetarian veg,1579,0,37.8,0,10.16,0,19.42,0,22.63,5.47,Bhatmas
C001,Agathi leaves,Sesbania grandiflora,"A. Bok phular paat; B. Bak ful shak; E. August tree leaves, Humming bird tree leaves, spinach; G. Agathio; H. Agasthi; Kan. Agase soppu; Mal. Agathi cheera; M. Chu chu Rangmei; Mar. Agasthi ka sag; O. Agasti; Tam. Agathi keerai; Tel. Avise akulu.",Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,295,0,8.01,0,5.21,0,1.35,0,8.6,74.43,Agasthi
C002,"Amaranth leaves, green",Amaranthus gangeticus,A. Moricha sak; B. Notya Shaakh; G. Taldalja ni bhaaji; H. Chaulai; Kan. Danthu; Kash. Mawal; Mal. Cheera; M. Chengkruk; Mar. Math; N. Latte to saag; O. Neutia sag; P. Chaulai sag; S. Maarissa; Tam. Thandu keerai; Tel. Thotakoora; U. Cholai.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,128,17,3.29,0.57,2.28,0.62,0.65,0.07,4.41,86.85,Chaulai
C003,"Amaranth leaves, red mix",Amaranthus gangeticus,A. Moricha; B. Lal Shaakh; G. Lal tandaljo; H. Chaulai; Kan. Danthu; Kash. Mawal; Mal. Cheera; M. Chengkruk; Mar. Math; N. Latte to saag; O. Neutia sag; P. Lal chaulai sag; S. Maarissa; Tel. Thotakoora; Tam. Thandu keerai; U. Cholai.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,140,0,3.93,0,2.37,0,0.63,0,4.91,85.56,Chaulai
C004,"Amaranth leaves, red and green mix",Amaranthus gangeticus,A. Moricha; B. Notya Shaakh; G. Tandaljo; H. Chaulai; Kan. Danthu; Kash. Mawal; Mal. Cheera; M. Chengkruk; Mar. Math; N. Latte to saag; O. Neutia sag; P. Chaulai sag; S. Maarissa; Tam. Thandu keerai; Tel. Thotakoora; U. Cholai.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,132,6,3.09,0.14,2.87,0.35,0.53,0.03,4.6,86.37,Chaulai
C005,"Amaranth spinosus, leaves, green mix",Amaranthus spinosus,A. Moricha sak; B. Kanta-notya; G. Kanta vado tandaljo; H. Kantewali-notya; Kan. Mulla danthu; Kash. Mawal; Mal. Mullancheru- cheera; M. Chengkruk; Mar. Kantemanth; O. Kanta notay shak; P. Kantewali chaulai; Tam. Mulaikeerai; Tel. Mulla thotakura.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,110,5,3.54,0.31,1.61,0.4,0.36,0.02,5.1,86.46,Kantewali-notya
C006,"Amaranth spinosus, leaves, red and green mix",Amaranthus spinosus,B. Kanta-notya shaak; G. Kanta vado tandaljo; H. Kantewali-notya; Kan. Mulla danthu; Kash. Mawal; Kh. Sla longmar; Mal. Mullancheru-cheera; M. Chengkruk; Mar. Kantemanth; O. Kanta neutia sag; P. Kantewali chaulai; Tam. Mulakeerai; Tel. Mulla thotakura.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,99,0,2.8,0,1.45,0,0.34,0,5.57,86.64,Kantewali-notya
C007,Basella leaves,Basella alba,A. Puroi sak; B. Pui shaak; E. Malabar spinach; G. Poi ni bhaji; H. Palak; Kan. Basale soppu; Kh. Sla palong dkhar; Mal. Vallicheera; Mar. Mayalu; O. Poi saaga; P. Paalak; Tam. Kodippasali; Tel. Bachhali.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,82,0,1.57,0,2.01,0,0.45,0,2.21,92.68,Palak
C008,Bathua leaves,Chenopodium album,A. Jilmil sak; B. Beto sak; G. Chilni bhaji; H. Bathua sagu; Kan. Sakothina soppu; Kash. Ushtahak; Kh. Sla jada; Mal. Parippuchira; M. Monsaobi; Mar. Chakavath; N. Bethe ko saag; O. Bathua sag; P. Bathu sag; Tel. Pappukura; Tam. Paruppukkeerai.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,116,0,2.5,0,2.56,0,0.44,0,4.01,88.77,Bathua sagu
C009,Beet greens,Beta vulgaris,A. Beetar sak; E. Beet greens; G. Beet ni bhaji; H. Chukandhar sag; Kan. Beet root soppu; Kash. Chogander Munji; Kh. Sla bit; Mal. Beet root cheera; Mar. Beet root ka sag; N. Bengali Palungo ko Saag; P. Chukandhar da sag; Tam. Beet root keerai; Tel. Beet root; U. beet patta.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,145,23,2.38,0.35,3.86,1.63,0.75,0.02,3.64,86.68,Chukandhar sag
C010,"Betel leaves, big (kolkata)",Piper betle,A. paan; B. Pan; G. Nagarvelna pan; H. Pan ka patha; Kan. Kadale soppu; Kh. Tympew Dkhar; Mal. Vettiiai; M. Kwa Mana; Mar. Pan-ka-patta; O. Pana; P.  Pan-da-patta; Tam. Vetrilai; Tel. Thamala paku; U. Paan ka patta.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,202,14,2.51,0.29,7.37,0.66,0.75,0.02,2.12,84.93,Pan ka patha
C011,"Betel leaves, small",Piper betle,A. Paan; B. Pan; G. Nagarvelna pan; H. Pan ka patha; Kan. Kadale soppu; Kh. Tympew; Mal. Vettiiai; M. Kwa Mana; Mar. Pan-ka-patta; O. Pana; P. Pan-da-patta; Tel. Thamala paku; Tam. Vetrilai; U. Paan ka patta.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,183,2,2.62,0.28,6.16,0.33,0.75,0.04,1.97,85.92,Pan ka patha
C012,Brussels sprouts,Brassica oleracea var. gemmifera,B. Biliti Bandhakopi; G. Nani kobi; H. Choote gobi; Kan. Mara kosu; Kash. Haakh; Mal. Kalakose; Mar. Chotee gobi; O. Chota bandha; P. Chooti band gobi; Tam. Kalaikose; Tel. Chinna cabbage; U. Choti bund gobh.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,185,0,4.26,0,5.09,0,0.5,0,4.29,84.39,Choote gobi
C013,"Cabbage, Chinese",Brassica rupa,A. China lai; G. Chinese kobi; Kash. Bandh; Kh. Salat chaina.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,75,0,1.58,0,2.36,0,0.13,0,2.01,93.19,
C014,"Cabbage, collard greens",Brassica oleracea var. viridis,G. Kobi na pan; Kash. Bandh; Kh. Sla kubi; Tam. Seemai parattai keerai.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,126,0,3.63,0,2.79,0,0.27,0,2.98,89.53,
C015,"Cabbage, green",Brassica oleracea var. capitata f. alba,A. Bondhakobi; B. Badha kopi; G. Lili kobi; H. Bandh gobi; Kan. Kosu; Kash. Bandh gobi; Kh. Kubi; Mal. Muttu gose; M. Kobi Mana; Mar. Kobi; N. Banda kovi; O. Bandha kobi; P. Patta gobhi; S. Shaakaprabhedah; Tel. Gos koora; Tam. Muttaikose; U. Gobhi.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,90,16,1.36,0.07,3.25,0.91,0.12,0.01,2.76,91.85,Bandh gobi
C016,"Cabbage, violet",Brassica oleracea var. capitata f. rubra,"A. Bondhakobi; B. Badha kopi; E. Red cabbage, Purple cabbage, Red Kraut, Blur kraut; G. Lal kobi; H. Bandh gobi; Kan. Kosu; Kash. Bandh gobi; Kh. Kubi saw; Mal. Muttu gose; Mar. Kobi; N. Banda kovi; O. Bandha kopee; P. Patta gobhi; S. Shaakaprabhedah; Tam. Muttaikose; Tel. Gos koora; U. Gobhi.",Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,97,0,1.39,0,3.54,0,0.21,0,2.21,91.94,Bandh gobi
C017,Cauliflower leaves,Brassica oleracea var. botrytis,A. Phul kobir pat; B. Phul gopi pata; G. Fulawar na pan; H. Phul gobi patta; Kan. Hukosu; Kash. Phoolgobi panwathir; Kh. Sla phul; Mal. Cauliflower; M. Kobithamchetmai mana; Mar. Phul gobi; N. Kauli; O. Phula Kobi patra; P. Phool gobi di patte; S. Gojihvaa; Tam. Pookosu keerai; Tel. Go puvvu; U. Phul gobi.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,148,22,3.9,0.87,3.39,0.7,0.42,0.02,3.43,87.64,Phul gobi patta
C018,"Colocasia leaves, green",Colocasia anti-quorum,A. Kasu sak; B. Kochu pata; G. Advi na pan; H. Arvi ka sag; Kan. Shamangadda yele; Kh. Sla wang; Mal. Chembu ilagal; M. Paan mana; Mar. Alu pan; N. Karkalo; O. Saru saga; P. Arbi-di-patte; Tam. Seppam ilaigal; Tel. Chama akulu; U. Arvi ka patta.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,182,9,3.42,0.29,3.69,0.49,1.38,0.09,5.6,83.61,Arvi ka sag
C019,Drumstick leaves,Moringa oleifera,"A. Sajina paat; B. Sajna pata; E. Horseradish leaves, Benzoil leaves; G. Saragwa na pan; H. Saijan patta; Kan. Nuggeyele; Mal. Muringa ela; M. Sajana mana; Mar. Shevaga pan; O. Sajna sag; P. Soanjhna da patta; Tam. Murungai keerai; Tel. Mulaga akulu; U. Sujineki palli.",Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,282,27,6.41,0.35,5.62,1.44,1.64,0.12,8.21,75.65,Saijan patta
C020,Fenugreek leaves,Trigonella foenum graecum,A. Methi paat; B. Methi shak; G. Methi pandada; H. Methi sag; Kan. Menthya soppu; Kash. Kasori Methi; Kh. Sla methi; Mal. Uluva ila; M. Methi man; Mar. Methi sag; N. Methi pata; O. Methi sag; P. Methi di patte; Tel. Menthikoora; Tam. Vendhaiya keerai; U. Methi.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,144,10,3.68,0.36,2.17,0.32,0.83,0.02,4.9,86.73,Methi sag
C021,Garden cress,Lepidium sativum,A. Bor manimuni; B. Halim sag; G. Asadio na pan; H. Halim ka patta; Kan. Allibija soppu; Kash. Halyun; Kh. Khliang syiar; Mal. Alivirai cheera; Mar. Ahiva ka patta; N. Chamsoor ko Saag; O. Kakharu Saga; P. Halim-da-sag; Tam. Alivirai keerai; Tel. Adityala akulu.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,208,0,5.62,0,4.48,0,0.8,0,2.6,84.02,Halim ka patta
C022,"Gogu leaves, green",Hibiscus cannabinus,A. Tengamora; B. Mestapat; E. Roselle Leaves; G. Ambadi; H. Pitwa; Kan. Pundi; Kh. Sla jajew jyrngam; Mal. Pulichai cheera; M. Sougri mana; Mar. Ambadi; O. Nalite saga; P. Pitwa sag; Tam. Pulichchai keerai; Tel. Gongura; U. Ambada ki bhaji.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,152,2,1.86,0.16,4.06,0.18,1.09,0.03,4.59,87.42,Pitwa
C023,"Gogu leaves, red",Hibiscus cannabinus,A. Tengamora; B. Mestapat; E. Roselle Leaves; G. Ambadi; H. Pitwa; Kan. Pundi; Kh. Sla jajew saw; Mal. Pulichai cheera; M. Sougri mana; Mar. Ambadi; O. Nalite saga; P. Pitwa sag; Tam. Pulichchai keerai; Tel. Gongura; U. Ambada ki bhaji.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,153,0,1.85,0,4.24,0,1.07,0,3.89,87.98,Pitwa
C024,"Knol-Khol, leaves",Brassica oleracea var. gongylodes,"A. Ool kobi; B. Olkopi sag; E. Knol Knol, Kohlrabi, Wild cabbage greens; G. Gath kobi na pan; H. Ganth gobi ka sag; Kan. Gedde kosu; Kash. Hakh Monji; Kh. Phan Kubi; Mal. Knol-khol cheera; M. Kobi Maru Kabi; Mar. Nol khol ka patta; N. Salgam ko saag; O. Ulgobi saga; P. Ganth gobi sag; Tam. Knol-Khol keerai; Tel. Knol-khol akulu.",Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,178,0,3.12,0,6.16,0,0.35,0,2.76,86.2,Ganth gobi ka sag
C025,Lettuce,Lactuca sativa,A. Salad paat; G. Lettuce na pan; H. Salad ka patta; Kan. Lettuce soppu; Kash. Hakh; Kh. Salat dkhar; Mal. Lettuce cheera; Mar. Lettuce ka patta; N. Saalad ko paat; P. Salada sag; Tam. Ilaikosu; Tel. Kavu akulu; U. Kismisaag.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,91,16,1.54,0.48,3.01,0.56,0.27,0.03,1.79,92.27,Salad ka patta
C026,Mustard leaves,Brassica juncea,A. Horiyo paat; B. Sorisa sag; E. Mustard greens; G. Sarasava pandada; H. Sarson ka sag; Kan. Sasuve yele; Kash. Hakh; Kh. Tyrso; Mal. Kadugu ila; M. Hangaam; Mar. Mochari-chi pan; N. Raayo ko Saag; O. Sarson ka saga; P. Saro da sag; Tam. Kadugu ilai; Tel. Ava akulu; U. Sarson ki patta.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,127,9,3.52,0.21,2.41,0.46,0.51,0.05,3.92,88.17,Sarson ka sag
C027,Pak Choi leaves,Brassica rapa var. Chinensis,"E. Bok choy, Horse`s ear, Chinese celery cabbage, White mustard cabbage; G. Pak choi na pan.",Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,67,0,1.41,0,1.78,0,0.25,0,1.91,93.56,
C028,Parsley,Petroselinum crispum,A. Sugandhi lota; E. Garden parsley; G. Leela dhana; Mal. Seema malli; Mar. Kothimbir/dhane; Tam. Verkosu; Kan. Auchumooda; U. Ajmod; P. Parsley.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,305,18,5.55,0.34,9.43,1.05,1.14,0.12,3.87,77.76,
C029,Ponnaganni,Alternanthera sessilis,A. Matikaduri; B. Khanchari;G. Saranthi na pan; H. Saranthi sag; Kan. Honagone soppu; Mal. Ponnaganni cheera; M. Phakchet; Mar. Saranthi sag; O. Madarangh; Tam. Ponnaganni keerai; Tel. Ponnaganti koora; U. Kunte ki bhaji.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,213,0,5.29,0,5.17,0,0.71,0,6.74,79.43,Saranthi sag
C030,"Pumpkin leaves, tender",Cucurbita maxima,A. Rongalao paat; B. Kumra shak; G. Kolam na pan; H. Kumhra sag; Kan. Kumbale soppu; Kash. Aal kaniji; Kh. Sla pathaw; Mal. Manthan elakai; M. Mairen mana; Mar. Bhopla chipan; O. Khakaru saga; P. Petha de pate; Tel. Gummadi akulu; Tam. Parangi ilai; U. Kaddu ka patta.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,185,15,4.21,0.41,4.75,1.01,0.74,0.03,2.25,85.82,Kumhra sag
C031,Radish leaves,Raphanus sativus,A. Dherua; B. Mulo shak; G. Muda na pan; H. Muli ka sag; Kan. Mullangi soppu; Kash. Mooji Hakh; Kh. Sla muli; Mal. Mullangi ilaigal; M. Hangham mula; Mar. Mula ka sag; N. Moolaa ko saag; O. Mula ka sag; P. Muli di patte; Tel. Mullangi akulu; Tam. Mullangi ilai; U. Muli ka patta..,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,109,9,2.22,0.23,2.77,0.34,0.51,0.05,1.82,91.19,Muli ka sag
C032,Rumex leaves,Rumex patientia,A. Suka sak; B. Bun palung; G. Ambada (sorrel); Kan. Chukki soppu; Mar. Amlavetasa; S. Amlavetasa; U. Tukhm hummaz.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,82,0,1.62,0,2.33,0,0.33,0,1.27,93.18,
C033,Spinach,Spinacia oleracea,A. Paleng; B. Palong shak; G. Palak ni bhaji; H. Palak; Kan. Spinak soppu; Kash. Palak; Kh. Palong heh; Mal. Basala cheera; M. Palak; Mar. Palak; N. Paalungo ko Saag; O. Palang sag; P. Palak; S. Paalakya; Tam. Pasalai keerai; Tel. Palakoora; U. Palak.,Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,102,7,2.14,0.14,2.05,0.31,0.64,0.03,2.38,90.31,Palak
C034,"Tamarind leaves, tender",Tamarindus indica,"B. Tetul pata; G. Amli na pan; H., P. Imli patte; K. Hunise chiguru; Mal., Tam. Puliam ilaigal; Mar. Chinchecha pala; O. Tentuli; Tel. Chinta chiguru; A. Teteli paat; M. Mange Mana; Kh. Sla sohkyntoi.",Green Leafy Vegetables,vegetarian eggetarian fishetarian veg,299,1,5.84,0.01,10.04,0.02,0.49,0.01,10.7,71.69,", P. Imli patte"
D001,Ash gourd,Benincasa hispida,"A. Kumura; B. Chalkumra; E. Wax gourd, White gourd, Winter gourd, Tallow gourd, Ash pumpkin, Winter melon, Chinese preserving melon; G. Bhuru kodu; H. Petha; Kan. Budagumbala; Kash. Aal; Kh. Pathaw iiwbih; Mal. Kumbalanga; M. Torbot; Mar. Kohala; N. Kubhindo; O. Panikakharu; P. Petha; Tam. Venpoosani; Tel. Boodida gummadi; U. Peta.",Other Vegetables,vegetarian eggetarian fishetarian veg,73,4,0.79,0.06,2.84,0.22,0.14,0.02,3.37,92.17,Petha
D002,"Bamboo shoot, tender",Bambusa vulgaris,"A. Bahgaj; B. Bansber ankur; E. Bamboo sprouts; G. Lilo vans; H. Baans; Kan. Baimbale, Kanile; Kh. Ka lung siej; Mal. Mulankoombu; M. Soidon; Mar. Kalkipan; O. Bhet ki lakdi; P. Baans; Tam. Moongil kuruthu; Tel. Veduru chiguru; U. Bhet ki lakdi.",Other Vegetables,vegetarian eggetarian fishetarian veg,68,0,1.33,0,1.67,0,0.35,0,1.55,94.56,Baans
D003,"Bean scarlet, tender",Phaseolus coccineus,"A. Lesera mah; E. Runner bean, Scarlet runner bean, Multiflora bean; G. Chodi; H. Sem; Kash. Hyambi; Kh. U buri; M. Hawai Ashaangbi; P. Sem fali.",Other Vegetables,vegetarian eggetarian fishetarian veg,179,21,2.86,0.27,5.16,1.45,0.99,0.06,4.5,85.51,Sem
D004,"Bitter gourd, jagged, teeth ridges, elongate",Momordica charantia,"A. Kerela; B. Korola; E. Bitter melon, Bitter squash, Balsam pear; G. Karela; H. Karela; Kan. Hagal kai; Kash. Karela; Kh. Kerela heh; Mal. Kaippakka; M. Karon Akhabi; Mar. Karle ; N. Tite karela; O. Kalara; P. Karela; S. Tillikaa; Tel. Kakara kaya; Tam. Paavakkai; U. Karela.",Other Vegetables,vegetarian eggetarian fishetarian veg,87,6,1.44,0.17,2.82,0.32,0.24,0.01,3.78,90.87,Karela
D005,"Bitter gourd, jagged, teeth ridges, short",Momordica charantia,"A. Kerela; B. Uchhe; E. Bitter melon, Bitter squash, Balsam pear; G. Marela; H. Karela; Kan. Hagal kai; Kash. Karela; Kh. Kerela rit; Mal. Kaippakka; M. Karon Akhabi; Mar. Karle; N. Tite karela; O. Kalara; P. Karela; S. Tillikaa; Tam. Paavakkai; Tel. Kakara kaya; U. Karela.",Other Vegetables,vegetarian eggetarian fishetarian veg,79,5,1.34,0.12,2.53,0.26,0.24,0.01,3.49,91.6,Karela
D006,"Bitter gourd, jagged, smooth ridges, elongate",Momordica charantia,"A. Kerela; B. Korola; E. Bitter melon, Bitter squash, Balsam pear; G. Karela; H. Karela; Kan. Hagal kai; Kash. Karela; Kh. Kerela; Mal. Kaippakka; M. Karon Akhabi; Mar. Karle; N. Tite karela; O. Kalara; P. Karela; S. Tillikaa; Tam. Paavakkai; Tel. Kakara kaya; U. Karela.",Other Vegetables,vegetarian eggetarian fishetarian veg,81,0,1.61,0,2.29,0,0.26,0,3.72,91.24,Karela
D007,"Bottle gourd, elongate, pale green",Lagenaria vulgaris,"A. Jatilao; B. Lau; E. Calabash, White flowered gourd; G. Dudhi; H. Lowki; Kan. Sorekai; Kash. Zeeth aal; Kh. U klong; Mal. Cheranga; M. Khongdrum; Mar. Pandhara; N. Lauka; O. Lau; P. Kadu; S. Kaarabellam; Tam. Suraikkai; Tel. Sorrakaya; U. Lowki.",Other Vegetables,vegetarian eggetarian fishetarian veg,46,6,0.53,0.05,1.68,0.33,0.13,0.02,2.12,95.17,Lowki
D008,"Bottle gourd, round, pale green",Lagenaria vulgaris,"A. Jatilao; B. Lau; E. Calabash, White flowered gourd; G. Dudhi; G. Dudhi; H. Lowki; Kan. Sorekai; Kash. Gool aal; Kh. U klong heh; Mal. Cheranga; M. Khongdrum; Mar. Pandhara; N. Lauka; O. Lau; P. Kdu; S. Kaarabellam; Tam. Suraikkai; Tel. Sorrakaya; U. Lowki.",Other Vegetables,vegetarian eggetarian fishetarian veg,57,3,0.42,0.02,2.53,0.21,0.12,0.03,2.1,94.5,Lowki
D009,"Bottle gourd, elongate, dark green",Lagenaria vulgaris,"A. Jatilao; B. Lau; E. Calabash, White flowered gourd; G. Dudhi; G. Dudhi; H. Lowki; Kan. Sorekai; U. Lowki; Kash. Zeth aal; Kh. Klong jrong; Mal. Cheranga; M. Khongdrum; Mar. Pandhara; N. Lauka; O. Lau; P. Kadu; S. Kaarabellam; Tam. Suraikkai; Tel. Sorrakaya.",Other Vegetables,vegetarian eggetarian fishetarian veg,54,0,0.49,0,2.25,0,0.13,0,2.11,94.63,Lowki
D010,Brinjal-1,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,vegetarian eggetarian fishetarian veg,114,0,1.77,0,3.49,0,0.39,0,3.57,89.95,Baingan
D011,Brinjal-2,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,vegetarian eggetarian fishetarian veg,99,0,1.82,0,2.71,0,0.34,0,4.01,90.28,Baingan
D012,Brinjal-3,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,vegetarian eggetarian fishetarian veg,102,0,1.36,0,3.38,0,0.33,0,4.26,90.02,Baingan
D013,Brinjal-4,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,vegetarian eggetarian fishetarian veg,100,18,1.51,0.24,3.19,0.86,0.31,0.03,4.04,90.28,Baingan
D014,Brinjal-5,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan",Other Vegetables,vegetarian eggetarian fishetarian veg,111,38,1.38,0.26,4.02,2.01,0.29,0.06,4.13,89.45,Baingan
D015,Brinjal-6,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan",Other Vegetables,vegetarian eggetarian fishetarian veg,97,0,1.46,0,3.29,0,0.29,0,3.68,90.57,Baingan
D016,Brinjal-7,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan",Other Vegetables,vegetarian eggetarian fishetarian veg,98,0,1.4,0,3.1,0,0.37,0,3.32,91.25,Baingan
D017,Brinjal-8,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,vegetarian eggetarian fishetarian veg,117,2,1.82,0.16,3.75,0.18,0.33,0.04,4.01,89.28,Baingan
D018,Brinjal-9,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,vegetarian eggetarian fishetarian veg,106,0,1.47,0,3.52,0,0.35,0,4,89.83,Baingan
D019,Brinjal-10,Solanum melongena,"A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.",Other Vegetables,vegetarian eggetarian fishetarian veg,116,0,1.68,0,4.08,0,0.25,0,3.9,89.38,Baingan
